Timestamp,Channel,CPU,Event type,Contents,TID,Prio,PID,Source
09:32:47.799 447 463,kernel_0,0,sched_waking,"comm=lttng-consumerd, tid=2208, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.799 448 349,kernel_0,0,sched_wakeup,"comm=lttng-consumerd, tid=2208, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.799 450 353,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=lttng-consumerd, next_tid=2208, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",,,,
09:32:47.799 452 260,kernel_3,3,syscall_exit_epoll_wait,"ret=1, events=140637496150960, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/eventpoll.c:0]
09:32:47.799 454 339,kernel_3,3,syscall_entry_ioctl,"fd=24, cmd=62981, arg=0, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 459 999,kernel_3,3,syscall_exit_ioctl,"ret=0, arg=0, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 460 282,kernel_3,3,syscall_entry_ioctl,"fd=24, cmd=2148070920, arg=140637652367688, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 460 512,kernel_3,3,syscall_exit_ioctl,"ret=0, arg=140637652367688, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 460 828,kernel_3,3,syscall_entry_ioctl,"fd=24, cmd=2148070925, arg=140637652367792, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 460 989,kernel_3,3,syscall_exit_ioctl,"ret=0, arg=140637652367792, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/ioctl.c:0]
09:32:47.799 462 225,kernel_3,3,syscall_entry_splice,"fd_in=24, off_in=140637652367384, fd_out=28, off_out=0, len=4096, flags=5, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/splice.c:0]
09:32:47.799 464 963,kernel_3,3,syscall_exit_splice,"ret=4096, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/splice.c:0]
09:32:47.799 465 179,kernel_3,3,syscall_entry_splice,"fd_in=27, off_in=0, fd_out=29, off_out=0, len=4096, flags=5, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/splice.c:0]
09:32:47.799 477 801,kernel_3,3,syscall_exit_splice,"ret=4096, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/splice.c:0]
09:32:47.799 478 397,kernel_3,3,syscall_entry_sync_file_range,"fd=29, offset=0, nbytes=4096, flags=2, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/sync.c:0]
09:32:47.799 514 297,kernel_3,3,syscall_exit_sync_file_range,"ret=0, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/sync.c:0]
09:32:47.799 514 835,kernel_3,3,syscall_entry_sync_file_range,"fd=29, offset=0, nbytes=0, flags=7, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,[fs/sync.c:0]
09:32:47.799 516 513,kernel_3,3,sched_stat_runtime,"comm=lttng-consumerd, tid=2208, runtime=68528, vruntime=108814778845619, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,
09:32:47.799 517 092,kernel_3,3,sched_switch,"prev_comm=lttng-consumerd, prev_tid=2208, prev_prio=20, prev_state=2, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",2208.0,20.0,,
09:32:47.802 307 877,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=4000277, vruntime=102934040650389, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.802 310 135,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.802 310 773,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.802 314 430,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.802 315 896,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=3260, vruntime=108814778751605, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.802 316 158,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.806 307 814,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=4000045, vruntime=102934044650434, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.806 329 666,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.806 330 852,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.806 332 738,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.806 334 983,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=4459, vruntime=108814778756064, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.806 335 604,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.810 307 121,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=3999470, vruntime=102934048649904, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.810 321 614,kernel_0,0,sched_waking,"comm=kworker/0:0, tid=15322, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.810 322 066,kernel_0,0,sched_stat_runtime,"comm=lttng-sessiond, tid=2186, runtime=14933, vruntime=102934048664837, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.810 322 940,kernel_0,0,sched_wakeup,"comm=kworker/0:0, tid=15322, prio=20, target_cpu=0, context.packet_seq_num=0, context.cpu_id=0",,,,
09:32:47.810 329 626,kernel_3,3,sched_waking,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.810 330 706,kernel_3,3,sched_wakeup,"comm=rcu_sched, tid=7, prio=20, target_cpu=3, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.810 334 035,kernel_3,3,sched_switch,"prev_comm=swapper/3, prev_tid=0, prev_prio=20, prev_state=0, next_comm=rcu_sched, next_tid=7, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",0.0,20.0,,
09:32:47.810 336 187,kernel_3,3,sched_stat_runtime,"comm=rcu_sched, tid=7, runtime=4531, vruntime=108814778760595, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
09:32:47.810 337 725,kernel_3,3,sched_switch,"prev_comm=rcu_sched, prev_tid=7, prev_prio=20, prev_state=1, next_comm=swapper/3, next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=3",7.0,20.0,7.0,
